s,C,m,mol/mol
Time,"temperature","visibility","CO"
 3.4197589E+000, 5.4221798E+001, 2.6268452E+000, 5.0377313E-005
 3.4275771E+000, 5.2836328E+001, 2.7251488E+000, 4.8354554E-005
 3.4353952E+000, 5.1409000E+001, 2.8359707E+000, 4.6261544E-005
 3.4432134E+000, 4.9986855E+001, 2.9572135E+000, 4.4170471E-005
 3.4510315E+000, 4.8621132E+001, 3.0850841E+000, 4.2160745E-005
 3.4588497E+000, 4.7324725E+001, 3.2208140E+000, 4.0221323E-005
 3.4666678E+000, 4.6120157E+001, 3.3610322E+000, 3.8398465E-005
 3.4744860E+000, 4.5000524E+001, 3.5044111E+000, 3.6698289E-005
 3.4823042E+000, 4.3906247E+001, 3.6584994E+000, 3.5031726E-005
 3.4901223E+000, 4.2778176E+001, 3.8341999E+000, 3.3307483E-005
 3.4979405E+000, 4.1689394E+001, 4.0286433E+000, 3.1590643E-005
 3.5057586E+000, 4.0812520E+001, 4.2150484E+000, 3.0109494E-005
 3.5135768E+000, 4.0246579E+001, 4.3621306E+000, 2.9041818E-005
 3.5213949E+000, 4.0061609E+001, 4.4453520E+000, 2.8481307E-005
 3.5292131E+000, 4.0144520E+001, 4.4482062E+000, 2.8470566E-005
 3.5370312E+000, 4.0263248E+001, 4.4181174E+000, 2.8675322E-005
 3.5448494E+000, 4.0365933E+001, 4.3950594E+000, 2.8835208E-005
 3.5526675E+000, 4.0638392E+001, 4.3695777E+000, 2.9028569E-005
 3.5604857E+000, 4.1307625E+001, 4.2855533E+000, 2.9660840E-005
 3.5683039E+000, 4.2224468E+001, 4.1467522E+000, 3.0743030E-005
 3.5761220E+000, 4.3229719E+001, 3.9920197E+000, 3.2036434E-005
 3.5839402E+000, 4.4492589E+001, 3.8188807E+000, 3.3622565E-005
 3.5917583E+000, 4.6214505E+001, 3.6108492E+000, 3.5752426E-005
 3.5995765E+000, 4.8437868E+001, 3.3766456E+000, 3.8498374E-005
 3.6081764E+000, 5.1384409E+001, 3.1083203E+000, 4.2204932E-005
 3.6167764E+000, 5.4669639E+001, 2.8502524E+000, 4.6492174E-005
 3.6253764E+000, 5.7779171E+001, 2.6382348E+000, 5.0704888E-005
 3.6339763E+000, 6.0342249E+001, 2.4907424E+000, 5.4123408E-005
 3.6425763E+000, 6.2480997E+001, 2.3837073E+000, 5.6916390E-005
 3.6511763E+000, 6.4190045E+001, 2.3065403E+000, 5.9120087E-005
 3.6597763E+000, 6.5653305E+001, 2.2455954E+000, 6.0987994E-005
 3.6683762E+000, 6.7017536E+001, 2.1932781E+000, 6.2694201E-005
 3.6778362E+000, 6.8469797E+001, 2.1374185E+000, 6.4607313E-005
 3.6872962E+000, 7.2016670E+001, 2.0033986E+000, 6.9644960E-005
 3.6967561E+000, 7.8581629E+001, 1.8036196E+000, 7.8830574E-005
 3.7062161E+000, 8.9577546E+001, 1.5599571E+000, 9.3993127E-005
 3.7156761E+000, 1.0669786E+002, 1.3051601E+000, 1.1764517E-004
 3.7251360E+000, 1.2680890E+002, 1.1106938E+000, 1.4556241E-004
 3.7345960E+000, 1.4542745E+002, 9.8737720E-001, 1.7136453E-004
 3.7440560E+000, 1.5916995E+002, 9.1745582E-001, 1.9047954E-004
 3.7535159E+000, 1.6760119E+002, 8.8126624E-001, 2.0216900E-004
 3.7629759E+000, 1.7307594E+002, 8.5648212E-001, 2.1060309E-004
 3.7724359E+000, 1.6802396E+002, 8.7386167E-001, 2.0407763E-004
 3.7818958E+000, 1.5069328E+002, 9.5548262E-001, 1.7931257E-004
 3.7913558E+000, 1.2871300E+002, 1.0961315E+000, 1.4819842E-004
 3.8008158E+000, 1.0762384E+002, 1.2948177E+000, 1.1887395E-004
 3.8092755E+000, 9.4915438E+001, 1.4695319E+000, 1.0124515E-004
 3.8177353E+000, 8.6394243E+001, 1.6242609E+000, 8.9479753E-005
 3.8261951E+000, 8.0562923E+001, 1.7558968E+000, 8.1429196E-005
 3.8346549E+000, 7.5733062E+001, 1.8864166E+000, 7.4760205E-005
 3.8431147E+000, 7.2574975E+001, 1.9846304E+000, 7.0417295E-005
 3.8515744E+000, 7.1103353E+001, 2.0344713E+000, 6.8399799E-005
 3.8600342E+000, 7.0147372E+001, 2.0661880E+000, 6.7162809E-005
 3.8693400E+000, 7.1786241E+001, 2.0037971E+000, 6.9584625E-005
 3.8786457E+000, 8.2319354E+001, 1.6681634E+000, 8.6137404E-005
 3.8879515E+000, 1.1121101E+002, 1.1666697E+000, 1.3317406E-004
 3.8972572E+000, 1.6074284E+002, 8.3922486E-001, 2.0899330E-004
 3.9065630E+000, 2.1610453E+002, 6.8192030E-001, 2.9002100E-004
 3.9158687E+000, 2.4894929E+002, 6.2551633E-001, 3.3739812E-004
 3.9251745E+000, 2.6478955E+002, 6.0857962E-001, 3.5730927E-004
 3.9344803E+000, 2.6297421E+002, 6.1762022E-001, 3.5089092E-004
 3.9437860E+000, 2.4766172E+002, 6.4893875E-001, 3.2441824E-004
 3.9530918E+000, 2.2009634E+002, 7.0850789E-001, 2.8141510E-004
 3.9623975E+000, 1.9642674E+002, 7.7453430E-001, 2.4507225E-004
 3.9717033E+000, 1.7769276E+002, 8.3575916E-001, 2.1805807E-004
 3.9810090E+000, 1.6492260E+002, 8.8735220E-001, 1.9956220E-004
 3.9903148E+000, 1.5409971E+002, 9.3451982E-001, 1.8480830E-004
 3.9996206E+000, 1.4646459E+002, 9.7208829E-001, 1.7449102E-004
 4.0089263E+000, 1.3982748E+002, 1.0111299E+000, 1.6510022E-004
 4.0182321E+000, 1.3368468E+002, 1.0501230E+000, 1.5660514E-004
 4.0275378E+000, 1.2828001E+002, 1.0895460E+000, 1.4893354E-004
 4.0368436E+000, 1.2253624E+002, 1.1354142E+000, 1.4087205E-004
 4.0461493E+000, 1.1847727E+002, 1.1701923E+000, 1.3528321E-004
 4.0541163E+000, 1.1933187E+002, 1.1606641E+000, 1.3669143E-004
 4.0620833E+000, 1.2389711E+002, 1.1207691E+000, 1.4320366E-004
 4.0700502E+000, 1.2906857E+002, 1.0811153E+000, 1.5038978E-004
 4.0780172E+000, 1.3432230E+002, 1.0467355E+000, 1.5735819E-004
 4.0859842E+000, 1.3815879E+002, 1.0252718E+000, 1.6216503E-004
 4.0939511E+000, 1.4029801E+002, 1.0148624E+000, 1.6468042E-004
 4.1019181E+000, 1.4075658E+002, 1.0133519E+000, 1.6510882E-004
 4.1098851E+000, 1.4016207E+002, 1.0164637E+000, 1.6436692E-004
 4.1178521E+000, 1.3715587E+002, 1.0319201E+000, 1.6072739E-004
 4.1258190E+000, 1.3098153E+002, 1.0692498E+000, 1.5278186E-004
 4.1337860E+000, 1.1963802E+002, 1.1503389E+000, 1.3802592E-004
 4.1417530E+000, 1.0671526E+002, 1.2823529E+000, 1.1974303E-004
 4.1497199E+000, 9.4063914E+001, 1.4588530E+000, 1.0175033E-004
 4.1576869E+000, 8.5315208E+001, 1.6215637E+000, 8.9359600E-005
 4.1656539E+000, 7.9095915E+001, 1.7710259E+000, 8.0398743E-005
 4.1736208E+000, 7.5382284E+001, 1.8782650E+000, 7.5009170E-005
 4.1815878E+000, 7.3327184E+001, 1.9440187E+000, 7.2044765E-005
 4.1895548E+000, 7.2362116E+001, 1.9759782E+000, 7.0682086E-005
 4.1975217E+000, 7.2297870E+001, 1.9760052E+000, 7.0667974E-005
 4.2054887E+000, 7.2483605E+001, 1.9620030E+000, 7.1210579E-005
 4.2134557E+000, 7.2614281E+001, 1.9499831E+000, 7.1676617E-005
 4.2214226E+000, 7.2609740E+001, 1.9436491E+000, 7.1909252E-005
 4.2293896E+000, 7.2716011E+001, 1.9369955E+000, 7.2178439E-005
 4.2373566E+000, 7.3418929E+001, 1.9099497E+000, 7.3349289E-005
 4.2453236E+000, 7.5129806E+001, 1.8521079E+000, 7.6013413E-005
 4.2532905E+000, 7.9205910E+001, 1.7344813E+000, 8.2118337E-005
 4.2612575E+000, 8.7765191E+001, 1.5343411E+000, 9.5084877E-005
 4.2692245E+000, 1.0688429E+002, 1.2386992E+000, 1.2401812E-004
 4.2771914E+000, 1.3851436E+002, 9.7355260E-001, 1.7092755E-004
 4.2851584E+000, 1.8042992E+002, 7.8782788E-001, 2.3272910E-004
 4.2931254E+000, 2.1206361E+002, 7.0286117E-001, 2.7905618E-004
 4.3010923E+000, 2.2433131E+002, 6.7910518E-001, 2.9612014E-004
 4.3090593E+000, 2.2764448E+002, 6.7856201E-001, 2.9833088E-004
 4.3170263E+000, 2.2600443E+002, 6.9440167E-001, 2.9057108E-004
 4.3249932E+000, 2.1890756E+002, 7.1808723E-001, 2.7699180E-004
 4.3329602E+000, 2.1369232E+002, 7.3211641E-001, 2.6880442E-004
 4.3409272E+000, 2.0788355E+002, 7.5043312E-001, 2.5911442E-004
 4.3496908E+000, 2.0096974E+002, 7.6984903E-001, 2.4894917E-004
 4.3584545E+000, 1.9440126E+002, 7.8755971E-001, 2.3997940E-004
 4.3672182E+000, 1.9601743E+002, 7.8107733E-001, 2.4280746E-004
 4.3759818E+000, 2.0471221E+002, 7.4098968E-001, 2.6068662E-004
 4.3847455E+000, 2.1560553E+002, 7.0466467E-001, 2.8037378E-004
 4.3935092E+000, 2.2088071E+002, 6.9039870E-001, 2.8925588E-004
 4.4022728E+000, 2.2403183E+002, 6.7813139E-001, 2.9636685E-004
 4.4110365E+000, 2.2164545E+002, 6.8052745E-001, 2.9390587E-004
 4.4206765E+000, 2.1442441E+002, 6.9433132E-001, 2.8385880E-004
 4.4303166E+000, 2.0545129E+002, 7.1380786E-001, 2.7103211E-004
 4.4399566E+000, 1.8654156E+002, 7.6991976E-001, 2.4135109E-004
 4.4495966E+000, 1.7110830E+002, 8.3050185E-001, 2.1623359E-004
 4.4592367E+000, 1.6282972E+002, 8.6905516E-001, 2.0279029E-004
 4.4688767E+000, 1.5911460E+002, 8.9136757E-001, 1.9602933E-004
 4.4785167E+000, 1.5614255E+002, 9.0908130E-001, 1.9088809E-004
 4.4881568E+000, 1.5321598E+002, 9.2287886E-001, 1.8675234E-004
 4.4977968E+000, 1.5110269E+002, 9.3316784E-001, 1.8377780E-004
 4.5074368E+000, 1.4559692E+002, 9.6467744E-001, 1.7546791E-004
 4.5170769E+000, 1.4014506E+002, 9.9866728E-001, 1.6728909E-004
 4.5267169E+000, 1.3464332E+002, 1.0348718E+000, 1.5928753E-004
 4.5363569E+000, 1.3165206E+002, 1.0558418E+000, 1.5497872E-004
 4.5459970E+000, 1.3096492E+002, 1.0619728E+000, 1.5382244E-004
 4.5556370E+000, 1.2998715E+002, 1.0722617E+000, 1.5197783E-004
 4.5652770E+000, 1.2629828E+002, 1.1006677E+000, 1.4670082E-004
 4.5749171E+000, 1.2306895E+002, 1.1270032E+000, 1.4211447E-004
 4.5845571E+000, 1.1664730E+002, 1.1884190E+000, 1.3258593E-004
 4.5941971E+000, 1.0931145E+002, 1.2684452E+000, 1.2188329E-004
 4.6038372E+000, 9.9493037E+001, 1.3919333E+000, 1.0821882E-004
 4.6134772E+000, 9.2590608E+001, 1.4990634E+000, 9.8623721E-005
 4.6231172E+000, 8.8154389E+001, 1.5769410E+000, 9.2615998E-005
 4.6327573E+000, 8.5682310E+001, 1.6251288E+000, 8.9254878E-005
 4.6423973E+000, 8.4688355E+001, 1.6464062E+000, 8.7857352E-005
 4.6520373E+000, 8.4130379E+001, 1.6590787E+000, 8.7050323E-005
 4.6616773E+000, 8.3860269E+001, 1.6677430E+000, 8.6532607E-005
 4.6713174E+000, 8.3718712E+001, 1.6741251E+000, 8.6168548E-005
 4.6809574E+000, 8.4107893E+001, 1.6677621E+000, 8.6591637E-005
 4.6905974E+000, 8.4990387E+001, 1.6485990E+000, 8.7814549E-005
 4.7002375E+000, 8.6101792E+001, 1.6238934E+000, 8.9427204E-005
 4.7098775E+000, 8.7750975E+001, 1.5906888E+000, 9.1713032E-005
 4.7195175E+000, 8.9904141E+001, 1.5497139E+000, 9.4699585E-005
 4.7291576E+000, 9.2716134E+001, 1.4995318E+000, 9.8626757E-005
 4.7387976E+000, 9.4804989E+001, 1.4652630E+000, 1.0150965E-004
 4.7484376E+000, 9.5994091E+001, 1.4469464E+000, 1.0312683E-004
 4.7580777E+000, 9.6536703E+001, 1.4384067E+000, 1.0389158E-004
 4.7677177E+000, 9.6798822E+001, 1.4339101E+000, 1.0429127E-004
 4.7773577E+000, 9.6859088E+001, 1.4300712E+000, 1.0458826E-004
 4.7869978E+000, 9.6408920E+001, 1.4324879E+000, 1.0428478E-004
 4.7966378E+000, 9.6697473E+001, 1.4256912E+000, 1.0486376E-004
 4.8062778E+000, 9.8811672E+001, 1.3938238E+000, 1.0787443E-004
 4.8159179E+000, 1.0425855E+002, 1.3204424E+000, 1.1553684E-004
 4.8255579E+000, 1.1185739E+002, 1.2315781E+000, 1.2636748E-004
